"","id","prize","year","name","gender","yob","yod","univ","city","country","Flagged"
"51","11902111","1","1902","John  Kerr","M","1824",NA,NA,NA,"UNITED KINGDOM (GB) ","CORRECT"
"52","11902121","1","1902","John  Kerr","M","1824",NA,NA,NA,"UNITED KINGDOM (GB) ","CORRECT"
"53","11902131","1","1902","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"54","11902141","1","1902","Hendrik A Lorentz","M","1853","1928","Leiden University","Leiden ","NETHERLANDS (NL) ","CORRECT"
"55","11902151","1","1902","Hendrik A Lorentz","M","1853","1928","Leiden University","Leiden ","NETHERLANDS (NL) ","CORRECT"
"56","11902161","1","1902","Hendrik A Lorentz","M","1853","1928","Leiden University","Leiden ","NETHERLANDS (NL) ","CORRECT"
"57","11902171","1","1902","Hendrik A Lorentz","M","1853","1928","Leiden University","Leiden ","NETHERLANDS (NL) ","CORRECT"
"58","11902181","1","1902","Hendrik A Lorentz","M","1853","1928","Leiden University","Leiden ","NETHERLANDS (NL) ","CORRECT"
"59","11902191","1","1902","Hendrik A Lorentz","M","1853","1928","Leiden University","Leiden ","NETHERLANDS (NL) ","CORRECT"
"60","11902201","1","1902","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"61","11902211","1","1902","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"62","11902221","1","1902","John W Strutt, Lord Rayleigh","M","1842","1919","Royal Institution of Great Britain","London","UNITED KINGDOM (GB) ","CORRECT"
"63","11902231","1","1902","Sir Joseph J Thomson","M","1856","1940","University of Cambridge","Cambridge","UNITED KINGDOM (GB) ","CORRECT"
"64","11902241","1","1902","William  Thomson","M","1824",NA,NA,NA,"UNITED KINGDOM (GB) ","CORRECT"
"65","11902251","1","1902","Pieter  Zeeman","M","1865","1943","University of Amsterdam","Amsterdam","NETHERLANDS (NL) ","CORRECT"
"66","1190311","1","1903","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
